2025-12-05 00:30:57,498 | INFO | XP_MT5_BOT | ================================================
2025-12-05 00:30:57,498 | INFO | XP_MT5_BOT | INICIANDO ROBÔ DE DAY TRADE AUTÔNOMO
2025-12-05 00:30:57,499 | INFO | XP_MT5_BOT | ================================================
2025-12-05 00:30:57,499 | INFO | XP_MT5_BOT | --- INICIANDO BACKTEST E OTIMIZAÇÃO DE PARÂMETROS ---
2025-12-05 00:30:57,703 | INFO | XP_MT5_BOT | Rodando teste 1/81: EMA 9/20, SL/TP 15/30
2025-12-05 00:30:57,704 | INFO | XP_MT5_BOT | Estratégia EMA Cross inicializada. EMA Rápida: 9, EMA Lenta: 20.
2025-12-05 00:30:57,711 | INFO | XP_MT5_BOT | Confirmador de Sinal inicializado. Filtro de Tendência: EMA 200. Filtro de Volume: 5% acima da média.
2025-12-05 00:30:57,711 | INFO | XP_MT5_BOT | Backtester inicializado. Parâmetros: EMA 9/20. SL/TP: 15/30.
2025-12-05 00:30:57,717 | INFO | XP_MT5_BOT | 👉 Venda rejeitada: ❌ Tendência: Preço (10013.80) > EMA 200 (10013.41); ❌ Volume: Atual (1355) < Média + 5% (1386)
2025-12-05 00:30:57,722 | INFO | XP_MT5_BOT | 👉 Compra rejeitada: ❌ Tendência: Preço (10009.53) < EMA 200 (10009.82); ❌ Volume: Atual (1032) < Média + 5% (1276)
2025-12-05 00:30:57,730 | INFO | XP_MT5_BOT | 👉 Venda rejeitada: ❌ Tendência: Preço (10026.79) > EMA 200 (10018.25)
2025-12-05 00:30:57,734 | INFO | XP_MT5_BOT | ✅ Sinal de COMPRA confirmado por TENDÊNCIA e VOLUME!
2025-12-05 00:30:57,738 | INFO | XP_MT5_BOT | 👉 Compra rejeitada: ❌ Volume: Atual (1079) < Média + 5% (1266)
2025-12-05 00:30:57,768 | INFO | XP_MT5_BOT | 👉 Venda rejeitada: ❌ Tendência: Preço (10200.46) > EMA 200 (10131.07); ❌ Volume: Atual (1080) < Média + 5% (1258)
2025-12-05 00:30:57,770 | INFO | XP_MT5_BOT | 👉 Compra rejeitada: ❌ Volume: Atual (1201) < Média + 5% (1263)
2025-12-05 00:30:57,773 | INFO | XP_MT5_BOT | 👉 Venda rejeitada: ❌ Tendência: Preço (10210.50) > EMA 200 (10145.06); ❌ Volume: Atual (1243) < Média + 5% (1414)
2025-12-05 00:30:57,775 | INFO | XP_MT5_BOT | 👉 Compra rejeitada: ❌ Volume: Atual (1151) < Média + 5% (1385)
2025-12-05 00:30:57,778 | INFO | XP_MT5_BOT | 👉 Venda rejeitada: ❌ Tendência: Preço (10211.46) > EMA 200 (10146.47); ❌ Volume: Atual (1039) < Média + 5% (1385)
2025-12-05 00:30:57,783 | INFO | XP_MT5_BOT | 👉 Compra rejeitada: ❌ Volume: Atual (1069) < Média + 5% (1345)
2025-12-05 00:30:57,796 | INFO | XP_MT5_BOT | Rodando teste 2/81: EMA 9/20, SL/TP 15/40
2025-12-05 00:30:57,797 | INFO | XP_MT5_BOT | Estratégia EMA Cross inicializada. EMA Rápida: 9, EMA Lenta: 20.
2025-12-05 00:30:57,798 | INFO | XP_MT5_BOT | Confirmador de Sinal inicializado. Filtro de Tendência: EMA 200. Filtro de Volume: 5% acima da média.
2025-12-05 00:30:57,799 | INFO | XP_MT5_BOT | Backtester inicializado. Parâmetros: EMA 9/20. SL/TP: 15/40.
2025-12-05 00:30:57,801 | INFO | XP_MT5_BOT | 👉 Venda rejeitada: ❌ Tendência: Preço (10013.80) > EMA 200 (10013.41); ❌ Volume: Atual (1355) < Média + 5% (1386)
2025-12-05 00:30:57,806 | INFO | XP_MT5_BOT | 👉 Compra rejeitada: ❌ Tendência: Preço (10009.53) < EMA 200 (10009.82); ❌ Volume: Atual (1032) < Média + 5% (1276)
2025-12-05 00:30:57,816 | INFO | XP_MT5_BOT | 👉 Venda rejeitada: ❌ Tendência: Preço (10026.79) > EMA 200 (10018.25)
2025-12-05 00:30:57,820 | INFO | XP_MT5_BOT | ✅ Sinal de COMPRA confirmado por TENDÊNCIA e VOLUME!
2025-12-05 00:30:57,824 | INFO | XP_MT5_BOT | 👉 Compra rejeitada: ❌ Volume: Atual (1079) < Média + 5% (1266)
2025-12-05 00:30:57,850 | INFO | XP_MT5_BOT | 👉 Venda rejeitada: ❌ Tendência: Preço (10200.46) > EMA 200 (10131.07); ❌ Volume: Atual (1080) < Média + 5% (1258)
